Id. RCE,NAF,Raison sociale,Enseigne,Tranche effectif (INSEE),Effectif ACOSS (ou recueilli),Adresse principale,Code postal,Commune acheminement postal
900272,7010Z,SAS BABOU,BABOU,20 A 49 SALARIES,70,8 RUE DU BOIS JOLI,63800,COURNON D AUVERGNE
31113700,7010Z,DALYS,BRASSERIE LA CARAVELLE,SANS SALARIE,0,357 RUE DU SENAILLET,74500,PUBLIER
29142741,7010Z,SARL NLBB,,SANS SALARIE,0,1 PL DES MARTYRS DE LA RESISTANCE,63200,RIOM
3480091,7010Z,TP DU LIVRADOIS CARRIERE DE MONTBOISSI,,SANS SALARIE,0,LIEU DIT BIORAT,63600,AMBERT
27861937,7010Z,BUBBLE BREAK BESANCON,,SANS SALARIE,0,21 RUE RAMEAU,63000,CLERMONT FERRAND
24746542,7010Z,KRB FOOD SAS,BURGER'S,10 A 19 SALARIES,10,42B RUE HENRI MARECHAL,69800,ST PRIEST
23980361,7010Z,ACITE,L ENDROIT LYON 6,SANS SALARIE,0,13 RUE DES AULNES,69760,LIMONEST
16522527,7010Z,GFSBTP,,3 A 5 SALARIES,3,32 RUE DE L ECORCHADE,63400,CHAMALIERES
1968289,7010Z,BERNARD PARTICIPATIONS,BERNARD PARTICIPATIONS,20 A 49 SALARIES,100,519 AVENUE DE PARME,1000,BOURG EN BRESSE
30375788,7010Z,GROUPE SOBER,,SANS SALARIE,50,391 RUE DE L AVENIR,69830,ST GEORGES DE RENEINS
21244032,7010Z,ASTELLE,,1 OU 2 SALARIES,1,6 ALLEE JULIEN DUVIVIER,69100,VILLEURBANNE
28509730,7010Z,KFM LES MARTRES,,SANS SALARIE,0,4 RUE DE LA TUILERIE,63730,LES MARTRES DE VEYRE
8016082,7010Z,FINATRAL,,50 A 99 SALARIES,50,RUE DU PRE DE L HORME,38920,CROLLES
1429957,7010Z,SOGRANLOTRANS,,100 A 199 SALARIES,100,10 RUE DE L ONZON,42290,SORBIERS
31809128,7010Z,SAS 2BDF,,SANS SALARIE,0,9 RUE PIERRE TERMIER,69660,COLLONGES AU MONT D OR
4023903,7010Z,GROUPE BERTHOD,,10 A 19 SALARIES,10,76 ROUTE DES CREUSES,74960,ANNECY
27931970,7010Z,VILLAGE MONT BLANC,,SANS SALARIE,0,29 AVENUE DE MIAGE,74170,ST GERVAIS LES BAINS
26770914,7010Z,PACHAMAMA SARL,,SANS SALARIE,0,,73170,ST JEAN DE CHEVELU
23958409,7010Z,ECOL MONTESSORI BEAUJOL EDUQ MONDE DEM,EMB,1 OU 2 SALARIES,0,3 IMPASSE DES MEHARIS,69220,ST JEAN D ARDIERES
25000124,7010Z,REST'ANIM,CARACROUTE,SANS SALARIE,0,5 RUE DES CHARDONNERETS,38280,VILLETTE D ANTHON
27324798,7010Z,CARDOCTORS07,,SANS SALARIE,0,QUARTIER RIBIERES,7120,GROSPIERRES
26199315,7010Z,LYON HOTEL INTERNATIONAL,,SANS SALARIE,0,67 QUAI CHARLES DE GAULLE,69006,LYON
26956323,7010Z,CARNE,LA MAISON DE L'ENTRECOTE,SANS SALARIE,7,184 RUE GARIBALDI,69003,LYON
22552395,7010Z,DC TRANSPORTS,,1 OU 2 SALARIES,1,CHEMIN DE LA CASCADE,73260,ST OYEN
17702023,7010Z,SK-AD,SK-AD,NON DEFINIE,0,LES FONTANETTES,73440,ST MARTIN DE BELLEVILLE
22965625,7010Z,ACCOR,ACCOR Direction R�gionale Emploi,,0,64 AVENUE LECLERC,69007,LYON
21070730,7010Z,BEAUREGARD OPTIQUE LYON,OPTIQUE CHARLEMAGNE VISION PLUS,1 OU 2 SALARIES,1,36 COURS CHARLEMAGNE,69002,LYON
31755795,7010Z,HO 36 MENUIRES,,SANS SALARIE,0,29 RUE MONTESQUIEU,69007,LYON
19338732,7010Z,NOTIN CAROLE   VIVAL,,1 OU 2 SALARIES,1,LE BOURG,69770,MONTROTTIER
23552851,7010Z,TECHNECO,,1 OU 2 SALARIES,1,2 PLACE DE L EUROPE,1570,FEILLENS
13901949,7010Z,CAROLINE PAPINEAU,VITAL BEAUTE,SANS SALARIE,0,64 RUE DES RANCY,69003,LYON
